{2012/04/07 16:31:16} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 16:31:17} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 16:31:40} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 16:31:40} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 16:31:49} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 16:31:50} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 16:35:33} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 16:35:33} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 16:36:15} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 16:36:15} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 16:36:24} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 16:36:25} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 16:36:59} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
